top - 00:13:02 up  9:55,  3 users,  load average: 0.05, 0.38, 0.65
Tasks: 140 total,   1 running, 139 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  9.1 sy,  0.0 ni, 90.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :    961.5 total,    193.9 free,    607.4 used,    311.3 buff/cache     
MiB Swap:   1217.5 total,   1036.6 free,    180.9 used.    354.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  39506 root      20   0     220      4      4 S   0.0   0.0   0:00.00 s6-supe+
  39507 root      20   0     220      4      4 S   0.0   0.0   0:00.00 s6-supe+
  39508 root      20   0     220      4      4 S   0.0   0.0   0:00.00 s6-supe+
  39509 root      20   0     220      4      4 S   0.0   0.0   0:00.00 s6-supe+
  39517 root      20   0     208      4      4 S   0.0   0.0   0:00.00 s6-ipcs+
  39644 root      20   0  103940  11176   7216 S   0.0   1.1   0:00.08 nginx
  39645 root      20   0    3932     40     40 S   0.0   0.0   0:00.00 bash
  39652 root      20   0 1285388  85552  33500 S   0.0   8.7   0:09.36 node
  40999 root      20   0       0      0      0 I   0.0   0.0   0:00.35 kworker+
  48312 root      20   0   20160   3224   3224 S   0.0   0.3   0:00.15 systemd
  48313 root      20   0   21160   1064   1064 S   0.0   0.1   0:00.00 (sd-pam)
  48322 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
  48392 root      20   0   13264   2024   2024 S   0.0   0.2   0:00.15 bash
  52141 root      20   0 1442436  12444  10324 S   0.0   1.3   0:00.50 PM2 v6.+
  52939 cockpit+  20   0  574968   2372   2224 S   0.0   0.2   0:03.27 cockpit+
  52946 cockpit+  20   0  386956   9980   4512 S   0.0   1.0   0:04.03 cockpit+
  52957 root      20   0   11980   3372   3372 S   0.0   0.3   0:00.09 cockpit+
  52960 wisnu     20   0    8304    644    644 S   0.0   0.1   0:00.00 ssh-age+
  52964 wisnu     20   0  414692  25364   7060 S   0.0   2.6   0:18.04 cockpit+
  53027 root      20   0    9400   2664   2664 S   0.0   0.3   0:00.00 su
  53028 wisnu     20   0   13284   3836   3144 S   0.0   0.4   0:00.23 bash
  54282 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
  54404 wisnu     20   0 1659436  57388  26648 S   0.0   5.8   0:03.21 node /h+
  54430 root      20   0       0      0      0 I   0.0   0.0   0:00.20 kworker+
  54982 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
  54998 wisnu     20   0 1517208  75732  48568 S   0.0   7.7   0:00.81 npm exe+
  55012 wisnu     20   0    2804   1924   1812 S   0.0   0.2   0:00.00 sh
  55013 wisnu     20   0 1664592 112696  55308 S   0.0  11.4   0:01.85 MainThr+
  55042 root      20   0  103940  10348   6228 S   0.0   1.1   0:00.16 nginx
  55043 root      20   0  103044   6068   2780 S   0.0   0.6   0:00.00 nginx
  55083 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
